"125490";"256875"
"97694";"128541"
"63182";"73274"
"3180";"80659"
"295713";"159689"
"79747";"15250"
"352432";"149722"
"218149";"423697"
"301436";"94318"
"97193";"338917"
"181927";"401942"
"275617";"27511"
"458960";"183766"
"262335";"336943"
"333410";"370006"
"142498";"248832"
"255375";"432066"
"316663";"497112"
"124967";"245099"
"284873";"109267"
"62388";"469040"
"49055";"241166"
"102597";"405888"
"57941";"247330"
"225853";"131385"
"311159";"1900"
"71451";"6739"
"200499";"378491"
"480753";"448909"
"57473";"8587"
"51456";"152922"
"96584";"98059"
"133414";"223397"
"305190";"257915"
"253026";"324425"
"188712";"242249"
"239846";"196598"
"202545";"81828"
"111253";"142498"
"140745";"189500"
"236896";"454341"
"243533";"140295"
"280991";"415404"
"164366";"398663"
"438097";"82098"
"260019";"375479"
"271249";"72391"
"57795";"135536"
"426680";"26257"
"118970";"403637"
"415211";"29702"
"163885";"10527"
"487585";"474540"
"136692";"23216"
"306222";"456886"
"88659";"57192"
"333685";"137266"
"422557";"465616"
"188901";"165133"
"315949";"42222"
"427890";"424884"
"127335";"33100"
"257739";"383213"
"154871";"420277"
"426301";"373566"
"261532";"102495"
"222017";"390315"
"31847";"391069"
"332354";"331310"
"409574";"3930"
"71541";"18902"
"279739";"392334"
"98638";"448911"
"254610";"37465"
"271026";"19235"
"187632";"4322"
"81427";"933"
"106898";"152862"
"370665";"30301"
"188334";"277108"
"444097";"32386"
"222783";"6874"
"308211";"400614"
"32662";"341418"
"400113";"53680"
"313035";"388916"
"243393";"133244"
"27830";"392609"
"366870";"331793"
"5352";"107634"
"493528";"5908"
"228086";"189319"
"330336";"44633"
"273961";"209793"
"4128";"456569"
"448929";"159689"
"495469";"179231"
"176749";"306175"
"301604";"440366"
"240748";"317160"
"269150";"103210"
"214648";"435915"
"50841";"458960"
"277444";"462446"
"208278";"82922"
"292368";"447588"
"329272";"34473"
"112880";"102597"
"282900";"289514"
"11142";"215514"
"453499";"291607"
"401942";"109610"
"65939";"8587"
"283265";"469016"
"94999";"160027"
"255666";"468738"
"243567";"32013"
"347505";"268834"
"150169";"163446"
"459792";"162467"
"91703";"111253"
"198106";"443630"
"163997";"52051"
"287702";"444649"
"138519";"22499"
"449861";"352434"
"86183";"351451"
"250224";"405803"
"359990";"222237"
"269470";"326719"
"189594";"40133"
"139433";"167488"
"193096";"268821"
"253844";"200258"
"268107";"124967"
"352434";"475973"
"434207";"309856"
"440052";"97315"
"420927";"308430"
"232173";"390622"
"455047";"493528"
"139417";"269150"
"373566";"368614"
"430409";"57941"
"4322";"97694"
"390315";"245099"
"449478";"336644"
"407403";"287702"
"202545";"21357"
"242249";"161830"
"214648";"240748"
"189319";"447297"
"309856";"82098"
"27511";"381049"
"259150";"147242"
"419031";"247330"
"415404";"11142"
"228992";"9838"
"270660";"317160"
"456886";"129355"
"437073";"475973"
"127335";"355959"
"414862";"406065"
"50310";"316663"
"282002";"420277"
"256875";"333665"
"336644";"413591"
"147242";"301604"
"317160";"495360"
"405888";"49063"
"343782";"275617"
"262091";"449478"
"407083";"403471"
"144744";"183766"
"268834";"22499"
"84536";"61012"
"477802";"32662"
"329255";"254610"
"5908";"471636"
"7923";"228307"
"347364";"370665"
"320860";"107634"
"256831";"71451"
"447588";"240852"
"152862";"42346"
"413395";"10079"
"415845";"331793"
"265534";"118970"
"333410";"270660"
"427890";"96584"
"271249";"487496"
"307499";"430266"
"388813";"454341"
"80659";"440366"
"468738";"116397"
"497112";"307236"
"268386";"95322"
"336943";"463191"
"162467";"247330"
"265534";"88633"
"81427";"227082"
"132165";"66181"
"84734";"256831"
"89270";"34540"
"109610";"11003"
"347505";"450242"
"471636";"109267"
"264083";"430409"
"469016";"162467"
"366870";"34473"
"373566";"372911"
"378611";"57192"
"248434";"439803"
"347505";"495360"
"341418";"126246"
"6874";"29702"
"163507";"277476"
"401983";"273889"
"933";"271026"
"37077";"198756"
"410586";"19533"
"275617";"123200"
"15002";"120515"
"406065";"438097"
"97193";"44893"
"401995";"258004"
"23216";"129355"
"435915";"83626"
"291181";"277444"
"355959";"283784"
"118845";"405803"
"57473";"317931"
"291607";"386322"
"313035";"17867"
"163446";"81828"
"444649";"277476"
"222237";"22993"
"188712";"62388"
"338917";"149487"
"50841";"140295"
"63916";"333665"
"400113";"269067"
"30835";"474526"
"164366";"215514"
"255666";"333685"
"375479";"51456"
"205169";"18399"
"88633";"448325"
"1900";"42346"
"284873";"52051"
"18902";"138519"
"181359";"86183"
"454341";"81828"
"133510";"349425"
"37465";"301436"
"227596";"9353"
"153684";"123100"
"445512";"215514"
"347505";"51569"
"209318";"26257"
"316989";"349425"
"245099";"347364"
"161830";"289514"
"439803";"1900"
"462630";"477000"
"331310";"407083"
"400614";"430409"
"282002";"149722"
"265017";"442755"
"81828";"127659"
"382711";"126246"
"276967";"424884"
"88051";"480753"
"271026";"415211"
"6739";"33100"
"332354";"37077"
"11142";"370006"
"23216";"1900"
"413591";"269150"
"324425";"449861"
"88633";"200258"
"82098";"311159"
"154871";"353061"
"324425";"368614"
"311159";"152862"
"359990";"390622"
"268386";"426680"
"6874";"63182"
"427466";"375543"
"490875";"73274"
"22993";"37077"
"4322";"25614"
"465616";"474526"
"3930";"88659"
"426680";"127659"
"255375";"933"
"15250";"282900"
"283784";"378491"
"326719";"40133"
"57473";"213548"
"448929";"463191"
"447297";"464128"
"110186";"163997"
"327697";"260019"
"225168";"378491"
"438097";"133244"
"208278";"44633"
"389113";"5352"
"280991";"112880"
"236896";"430266"
"245099";"156390"
"187632";"137266"
"316663";"240748"
"308430";"128541"
"256831";"415845"
"31847";"129355"
"196598";"378491"
"287702";"222017"
"491832";"19235"
"167488";"300606"
"42222";"160027"
"370665";"300957"
"50841";"116397"
"333685";"268107"
"209793";"213548"
"473533";"415484"
"79747";"448929"
"63916";"487496"
"34473";"57421"
"279940";"473533"
"51569";"352432"
"57192";"200258"
"264083";"283265"
"17867";"98638"
